اسم المشروع,القطاع,رأس المال,تكلفة المبيعات,الإيرادات,التكلفة التشغيلية الشهرية,سعر المنتج او الخدمة,الطاقة الإنتاجية الشهرية,هامش الربح,نوع العميل,السوق المستهدف,قنوات التوزيع,حجم الطلب,عدد المنافسين,طرق التسويق,عدد العمال,نوع المعدات,الموقع,فترة الاسترداد,النتيجة_رقم,رأس المال_Scaled,الإيرادات_Scaled,تكلفة المبيعات_Scaled,نوع المشروع الدقيق_Encoded,Log_رأس_المال,Log_رأس_المال_Scaled,عدد العمال_Scaled,حجم الطلب_Scaled,عدد المنافسين_Scaled,Target_الجدوى,Target_فترة_الاسترداد
احذيه,تجاري,2963900,0.76,4732648,299734,متنوع حسب الصنف,حسب الطلب اليومي,0.24,أفراد (B2C),رجال-نساء-أطفال,"وسائل التواصل الاجتماعي, تجار التجزئة",2,1,"فيسبوك وواتساب, لوحات إعلانية",2,"أرفف، نظام محاسبي، ثلاجات",الأسواق-المولات,31.3,1,0.054,0.0427,0.7018,65,14.902,0.214,0.125,0,0,1,31.3
اشغال يدويه,إنتاجي,14405410,0.39,19771308,642568,سعر السوق المنافس,4079 وحدة/كيلو,0.61,مختلط,افراد,"تطبيقات التوصيل, تجار التجزئة",3,1,"التسويق الشفهي, لوحات إعلانية",6,"آلات تصنيع، أدوات تغليف",منصات الكترونية-بازارات,14.3,1,0.5196,0.3017,0.0526,218,16.4831,0.7842,0.625,1,0,1,14.3
الانترنت,خدمي,7792810,0.71,9794768,579524,حسب نوع الخدمة,حسب الطلب اليومي,0.29,أفراد (B2C),افراد,"تطبيقات التوصيل, تجار التجزئة",2,2,"لوحات إعلانية, التسويق الشفهي",3,"أدوات مكتبية، أجهزة كمبيوتر",حارات-كافيهات,32.9,1,0.2505,0.1299,0.614,144,15.8687,0.5626,0.25,0,0.5,1,32.9
العاب,تجاري,6791825,0.69,14048031,807762,متنوع حسب الصنف,حسب الطلب اليومي,0.31,أفراد (B2C),افراد(اسر-أطفال),"البيع المباشر, تجار التجزئة",,2,"فيسبوك وواتساب, التسويق الشفهي",3,"أرفف، نظام محاسبي، ثلاجات",أسواق_المولات,18.7,1,0.2098,0.2032,0.5789,15,15.7312,0.513,0.25,,0.5,1,18.7
الكترونيات,تجاري,2764880,0.8,4379768,291985,متنوع حسب الصنف,حسب الطلب اليومي,0.2,أفراد (B2C),افراد وشركات,"تجار التجزئة, وسائل التواصل الاجتماعي",3,2,"التسويق الشفهي, عروض ترويجية",3,"أرفف، نظام محاسبي، ثلاجات",أسواق-معارض تقنية,37.9,1,0.0459,0.0366,0.7719,11,14.8325,0.1889,0.25,1,0.5,1,37.9
المنيوم,إنتاجي,19776275,0.71,33228754,1966035,سعر السوق المنافس,1123 وحدة/كيلو,0.29,مختلط,شركات ومقاولين,"البيع المباشر, تجار التجزئة",2,2,"التسويق الشفهي, فيسبوك وواتساب",4,"آلات تصنيع، أدوات تغليف",مناطق صناعية,24.6,1,0.7382,0.5335,0.614,120,16.8,0.8984,0.375,0,0.5,1,24.6
إتصالات,خدمي,5844340,0.66,7608736,418480,حسب نوع الخدمة,حسب الطلب اليومي,0.34,أفراد (B2C),افراد ,"تجار التجزئة, وسائل التواصل الاجتماعي",3,2,"فيسبوك وواتساب, عروض ترويجية",2,"أدوات مكتبية، أجهزة كمبيوتر",مراكز خدمات اتصالات,27.1,1,0.1712,0.0923,0.5263,16,15.581,0.4588,0.125,1,0.5,1,27.1
أدوات منزلية,تجاري,3174155,0.8,6787017,452468,متنوع حسب الصنف,حسب الطلب اليومي,0.2,أفراد (B2C),افراد (عائلات),"تجار التجزئة, البيع المباشر",3,3,"فيسبوك وواتساب, لوحات إعلانية",1,"أرفف، نظام محاسبي، ثلاجات",أسواق-مولات,28.1,1,0.0625,0.0781,0.7719,12,14.9706,0.2387,0,1,1,1,28.1
أكسسوارات,تجاري,4168185,0.72,5084057,305043,متنوع حسب الصنف,حسب الطلب اليومي,0.28,أفراد (B2C),افراد (نساء),"وسائل التواصل الاجتماعي, البيع المباشر",3,2,"التسويق الشفهي, عروض ترويجية",2,"أرفف، نظام محاسبي، ثلاجات",أسواق-مولات,35.1,1,0.103,0.0488,0.6316,13,15.243,0.3369,0.125,1,0.5,1,35.1
بائع ايسكريم,تجاري,5318970,0.75,9304125,581508,متنوع حسب الصنف,حسب الطلب اليومي,0.25,أفراد (B2C),افراد (كل الاعمار),"البيع المباشر, تجار التجزئة",2,3,"لوحات إعلانية, عروض ترويجية",2,"أرفف، نظام محاسبي، ثلاجات",الشوارع العامة-الحدائق,27.4,1,0.1498,0.1215,0.6842,14,15.4868,0.4248,0.125,0,1,1,27.4
