اسم المشروع,القطاع,رأس المال,تكلفة المبيعات,الإيرادات,التكلفة التشغيلية الشهرية,سعر المنتج او الخدمة,الطاقة الإنتاجية الشهرية,هامش الربح,نوع العميل,السوق المستهدف,قنوات التوزيع,حجم الطلب,عدد المنافسين,طرق التسويق,عدد العمال,نوع المعدات,الموقع,فترة الاسترداد,النتيجة_رقم,رأس المال_Scaled,الإيرادات_Scaled,تكلفة المبيعات_Scaled,نوع المشروع الدقيق_Encoded,Log_رأس_المال,Log_رأس_المال_Scaled,عدد العمال_Scaled,حجم الطلب_Scaled,عدد المنافسين_Scaled,Target_الجدوى,Target_فترة_الاسترداد
خدمة تقنية 1,تقنية,1358000,81000,185000,67000,59000,382,0.2,طلاب,محلي,اونلاين,متوسط,13,إحالات,7,أجهزة شبكات,صنعاء,37,0,0.085666,0.062927,0.052885,0,14.121524,0.283738,0.428571,0.0,0.428571,0,37
خدمة صيانة 2,خدمات,1574000,125000,250000,45000,41000,95,0.32,عائلات,قرب الجامعات,مباشر,مرتفع,17,عروض باقات,5,حاسوب,صنعاء,20,1,0.11151,0.107387,0.105769,1,14.269131,0.339642,0.285714,1.0,0.619048,1,20
مركز تدريب رقمي 3,تقنية,3594000,235000,509000,110000,59000,377,0.3222,شركات صغيرة,طلاب الجامعات,تطبيقات المراسلة,مرتفع,18,إحالات,2,سيرفر بسيط,صنعاء,22,1,0.353195,0.284542,0.237981,2,15.094777,0.65234,0.071429,1.0,0.666667,1,22
متجر مستلزمات 4,تجارة,4846000,262000,595000,153000,30000,2206,0.3025,طلاب,محلي,توصيل,مرتفع,14,سوشيال ميديا,3,رفوف,صنعاء,27,0,0.502991,0.343365,0.270433,3,15.393664,0.765538,0.142857,1.0,0.47619,0,27
دورات لغات 5,تعليم,3367000,224000,542000,153000,31000,149,0.3044,خريجون,محلي,هجين,مرتفع,9,محتوى تعليمي,10,حاسوب,صنعاء,20,1,0.326035,0.307114,0.22476,4,15.029533,0.62763,0.642857,1.0,0.238095,1,20
متجر إلكتروني 6,تقنية,2643000,147000,322000,81000,70000,392,0.2919,موظفون,طلاب الجامعات,تطبيقات المراسلة,متوسط,15,عروض افتتاح,3,حاسوب,صنعاء,28,0,0.239411,0.156635,0.132212,5,14.787426,0.535936,0.142857,0.0,0.52381,0,28
متجر مستلزمات 7,تجارة,2281000,157000,351000,99000,14000,2494,0.2707,عائلات,محلي,محل,مرتفع,10,عروض أسبوعية,8,رفوف,صنعاء,24,1,0.1961,0.176471,0.144231,3,14.640125,0.480149,0.5,1.0,0.285714,1,24
عيادة مصغرة 8,صحة,5973000,434000,855000,231000,88000,370,0.2222,طلاب,قرب المستشفيات,حجز هاتفي,مرتفع,4,تعاون أطباء,7,معدات تعقيم,صنعاء,31,0,0.637832,0.521204,0.477163,6,15.60276,0.844729,0.428571,1.0,0.0,0,31
مركز تدريبي 9,تعليم,2352000,197000,346000,129000,39000,400,0.0578,خريجون,طلاب المدارس,هجين,متوسط,11,شراكات مدارس,6,حاسوب,صنعاء,118,0,0.204594,0.173051,0.192308,7,14.670777,0.491758,0.357143,0.0,0.333333,0,118
بوفيه 10,تجارة,2994000,206000,388000,162000,22000,1375,0.0515,طلاب,محلي,محل,مرتفع,10,لافتات,2,نقاط بيع,صنعاء,150,0,0.281407,0.201778,0.203125,8,14.912121,0.583162,0.071429,1.0,0.285714,0,150
مركز تدريب رقمي 11,تقنية,5811000,566000,982000,240000,23000,348,0.1792,شركات صغيرة,طلاب الجامعات,اونلاين,متوسط,13,إحالات,3,أجهزة شبكات,صنعاء,33,0,0.618449,0.608071,0.635817,2,15.575263,0.834315,0.142857,0.0,0.428571,0,33
بوفيه 12,تجارة,4893000,367000,704000,171000,17000,845,0.2358,موظفون,محلي,اونلاين,متوسط,9,لافتات,10,رفوف,صنعاء,29,0,0.508615,0.417921,0.396635,8,15.403316,0.769194,0.642857,0.0,0.238095,0,29
متجر إلكتروني 13,تقنية,2642000,256000,461000,60000,32000,353,0.3145,شركات صغيرة,الأحياء التجارية,مباشر,مرتفع,12,سوشيال ميديا,3,سيرفر بسيط,صنعاء,18,1,0.239292,0.25171,0.263221,5,14.787047,0.535793,0.142857,1.0,0.380952,1,18
متجر مستلزمات 14,تجارة,1428000,106000,228000,52000,24000,2465,0.307,طلاب,محلي,محل,مرتفع,10,لافتات,2,رفوف,صنعاء,20,1,0.094042,0.092339,0.082933,3,14.171786,0.302774,0.071429,1.0,0.285714,1,20
مختبر تحاليل 15,صحة,2551000,161000,334000,140000,45000,370,0.0988,طلاب,محلي,مباشر,متوسط,10,توعية صحية,4,أجهزة طبية,صنعاء,77,0,0.228404,0.164843,0.149038,9,14.751996,0.522518,0.214286,0.0,0.285714,0,77
